sample_id,split,gender,discipline,clinical_experience,country,question_type,prompt,question,question_clean,answer_options,correct_answer,answer_rationale,specialty,region_specific,mentions_Africa,mentions_age,mentions_gender,tier,neg_percent,quality,rated_african,rated_correct,rated_omission,rated_hallucination,rated_reasonable,rated_harmful,rated_bias,version,requires_african_expertise,model_prompt
a7ee602bfd80746f73e7ce59d70ab8900b0d7ebe40241007d2d050e27b823d25,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?

","
A. Laparoscopic adjustable gastric banding (LAGB), 
B. Roux-en-Y gastric bypass (RYGB), 
C. laparoscopic sleeve gastrectomy (LSG), 
D. biliopancreatic diversion with duodenal switch (BPDS), 
E. n/a",D,"A duodenal switch is a primarily malabsorptive procedure: biliopancreatic diversion with duodenal switch results in significant nutritional abnormalities including deficiencies in vitamins A, B12, D, E and K, iron and protein. RYGB may produce similar effects, though not typically to the same degree. LAGB and LSG are primarily restrictive procedures.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. 

Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional sequelae?



###Options:
A. Laparoscopic adjustable gastric banding (LAGB), 
B. Roux-en-Y gastric bypass (RYGB), 
C. laparoscopic sleeve gastrectomy (LSG), 
D. biliopancreatic diversion with duodenal switch (BPDS), 
E. n/a

###Answer:"
06bcc20456d81d9d68cb646e92aba0a4718b0088899d09b3effb7a43f52531d3,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?

","
A. BMI 32 and Type II diabetes, 
B. BMI 37 and obstructive sleep apnea, 
C. BMI 37 and hypertension, 
D. BMI 46 and no identifiable co-morbidities, 
E. n/a",B,Diabetes and obstructive sleep apnea are considered sever co-morbidities. Hypertension is considered a less severe co-morbidity. ,Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A 14-year-old male is being assessed for weight loss surgery.

Which of the following is an indication for surgical management?



###Options:
A. BMI 32 and Type II diabetes, 
B. BMI 37 and obstructive sleep apnea, 
C. BMI 37 and hypertension, 
D. BMI 46 and no identifiable co-morbidities, 
E. n/a

###Answer:"
2d6206ab0285667d016ba210e1aeaf3caed81db107fb32e0fa4e194948f1bebf,test,Male,Medicine,Licensed Professional,ZA,mcq,,"
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?

","
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90 th centile. 

By definition how would you classify this patient?

","
A. Obese, 
B. Normal, 
C. Overweight, 
D. Severely obese, 
E. n/a",C,"The terms overweight (BMI for age and gender ≥85th percentile), obese (BMI for age and gender ≥95th percentile), and severely obese (BMI for age and gender >120% of the 95th percentile) have been used to refer to increasing grades of excess weight in children. ",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: 
 A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90th centile. 

By definition how would you classify this patient?



###Options:
A. Obese, 
B. Normal, 
C. Overweight, 
D. Severely obese, 
E. n/a

###Answer:"
85de0d8a61bbf0c8007362fc23c17cb4cd515bf75afe1ab4b0ec185acd529b17,test,Male,Medicine,Licensed Professional,ZA,mcq,,"Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?

","
A. Discharge when well with catheter in situ, and follow up at 1 week for removal, 
B. Removal of catheter 24 to 48 hours post op and discharge if good urinary stream, 
C. Inpatient ultrasound and discharge if normal, 
D. Voiding cystourethrogram after removal of catheter at 10 to 14 days post op, 
E. n/a",D,A patent urachus requires investigation of the urinary tract to look for bladder outlet obstruction in which the urachus is functioning as a relief valve. ,Pediatrics,No,0.0,0.0,1.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: Following resection of a patent urachus and bladder closure in a male infant, a transurethral catheter is lest in situ.

What is your post-operative plan for this patient?



###Options:
A. Discharge when well with catheter in situ, and follow up at 1 week for removal, 
B. Removal of catheter 24 to 48 hours post op and discharge if good urinary stream, 
C. Inpatient ultrasound and discharge if normal, 
D. Voiding cystourethrogram after removal of catheter at 10 to 14 days post op, 
E. n/a

###Answer:"
7482c32ae9a860247b3449a230e5eee576e5284cd9a57f8708e22216868cbdd4,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?","
A. Suture ligate the patent urachus at the umbilicus, 
B. Ligate and divide the patent urachus at the dome of the bladder, 
C. Resect the entire patent urachus and ligate and divide at the dome of the bladder, 
D. Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair, 
E. n/a",D,Failure to adequately resect the patent urachus at dome of bladder may increase the risk of future malignancies,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A 1-week old term baby presents with clear fluid draining from t the umbilicus. At exploration, you confirm a patent urachus

What is the most correct description of the operation required for this anomaly?

###Options:
A. Suture ligate the patent urachus at the umbilicus, 
B. Ligate and divide the patent urachus at the dome of the bladder, 
C. Resect the entire patent urachus and ligate and divide at the dome of the bladder, 
D. Excision of the patent urachus, with wedge resection at dome of bladder and formal bladder repair, 
E. n/a

###Answer:"
03833fa3fcd1dc1c02317c0359804bf36433f93412fc7c0e5e42d4f3cca611b9,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?

","
A. adhesive bowel obstruction, 
B. omphalomesenteric duct remnant, 
C. internal hernia, 
D. remnant of the omphalomesenteric artery, 
E. n/a",D,The child has no history of previous surgery making adhesive bowel obstruction unlikely. Failure of regression of a dominant omphalomesenteric artery may result in a fibrous band extending from the umbilicus to the small intestine. ,Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A 3-year-old child with no significant medical or surgical history presents with bowel obstruction and is taken to theatre for exploratory laparotomy. At laparotomy you find a loop of small intestine volved around a fibrous band which extends from the umbilicus to the jejunum. 

What is the most likely cause of this finding?



###Options:
A. adhesive bowel obstruction, 
B. omphalomesenteric duct remnant, 
C. internal hernia, 
D. remnant of the omphalomesenteric artery, 
E. n/a

###Answer:"
18fad4532780a441877ef7a155b05821f43af0ac894e5c98ff8d46102d0074b1,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?","
A. Surgical debridement, 
B. Incision and drainage, 
C. Intravenous antibiotics, 
D. Oral antibiotics and observation, 
E. n/a",C,"Based on suspicion of omphalitis. The immediate management of this condition in the absence of any clinical features of necrotizing fasciitis is admission and intravenous antibiotics. If the cellulitis progresses despite treatment, surgical exploration is warranted. ",Pediatrics,No,0.0,1.0,0.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A newborn presents with fever, tachycardia and erythema around the umbilicus. 
What is your immediate management for this child?

###Options:
A. Surgical debridement, 
B. Incision and drainage, 
C. Intravenous antibiotics, 
D. Oral antibiotics and observation, 
E. n/a

###Answer:"
76c707d96ba337d6a4943b5012958441a7e2ba38707934d80ab4d6a7ca311924,test,Male,Medicine,Licensed Professional,ZA,mcq,,"You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?

","
A. Apply daily chlorhexidine to the cord, 
B. Suture ligated the excess cord, 
C. Investigate for neutrophil mobility defects, 
D. Investigate for vertical transmission of HIV, 
E. n/a",C,The normal time for separation of the umbilical cord after birth ranges from 3 days to 2 months. Delayed separation of the umbilical cord has been associated with heritable neutrophil mobility defects and widespread infections that are often lethal.,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: You are asked to review a 2-month old infant admitted to paediatrics with a severe lower respiratory tract infection. On examination you note that the umbilical cord has not yet separated.

What would your advice to the paediatrician be?



###Options:
A. Apply daily chlorhexidine to the cord, 
B. Suture ligated the excess cord, 
C. Investigate for neutrophil mobility defects, 
D. Investigate for vertical transmission of HIV, 
E. n/a

###Answer:"
413b63ec57cdc3c56814fbf81eb5f5a87df262dc732a6f0adc9c1b1f867b4efc,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?

","
A. Meckel diverticulum originating from the urachus, 
B. Umbilical polyp originating from remnants of the omphalomesenteric duct, 
C. Umbilical granuloma originating from the omphalomesenteric vein, 
D. Patent urachus originating from the allantois, 
E. n/a",B,Meckel diverticulum originates from the omphalomesenteric duct. Umbilical polyps are omphalomesenteric duct remnants. Umbilical granulomas consist of granulation tissue only. A patent urachus results from failure of the urachus to obliterate. ,Pediatrics,No,0.0,0.0,0.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A two-week old newborn is brought to the surgical clinic with and undifferentiated lesion of the umbilicus. Prior to any investigations the parents would like to know what it could be and what it is caused by.

Which of the following options regarding variants of normal embryological structures is correctly paired?



###Options:
A. Meckel diverticulum originating from the urachus, 
B. Umbilical polyp originating from remnants of the omphalomesenteric duct, 
C. Umbilical granuloma originating from the omphalomesenteric vein, 
D. Patent urachus originating from the allantois, 
E. n/a

###Answer:"
c26d12a61dc3360a3ba48aa69071be23249287cebd5810f43eeb4bf4ab662813,test,Male,Medicine,Licensed Professional,ZA,mcq,,"A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?
","
A. Cardiac contusion, 
B. Fat embolism, 
C. Aspiration pneumonia, 
D. Pulmonary contusion, 
E. n/a",D,"Pulmonary contusion is the common in children who sustain blunt chest trauma, owing to the increased compliance of the thoracic cavity in a child. As such, the chest can absorb a large amount of kinetic energy from the impact, which is subsequently transferred to the intrathoracic structures. An initial chest radiograph may be normal. Subsequent x-rays may reveal ill-defined consolidation which is not sensitive for contusion, with differentials including aspiration, atelectasis, and infection.",Pediatrics,No,0.0,1.0,1.0,expert,1.0,,0.0,,,,,,,v2,0,"###Instruction: 
The following are multiple choice questions (MCQs).
You should directly answer the question by choosing the correct option and then provide a rationale for your answer.

###Question: A 4 year old girl falls from the balcony of an apartment on the third floor. On arrival in the Emergency Room she is haemodynamically stable. Initial radiographs demonstrate a right femur fracture and bilateral tibia fractures. Her chest radiograph shows no rib or sternal fractures. There is no pneumo or haemothorax. Despite this, her Sats drop to 86% on nasal prong oxygen, and she develops subcostal recessions. 

What is the most likely cause for her respiratory distress?


###Options:
A. Cardiac contusion, 
B. Fat embolism, 
C. Aspiration pneumonia, 
D. Pulmonary contusion, 
E. n/a

###Answer:"
